model,train_rmse,val_rmse,train_r2,val_r2,train_mae,val_mae,alpha,model_type,submission_file
"Ridge(alpha=0.01, max_iter=10000, random_state=321)",0.9898902166874961,0.9868651344667227,0.6510197684971198,0.6235471768700804,0.6957656140777635,0.6601155300131565,0.01,Ridge,submission_ridge_alpha_0.01.csv
"Ridge(alpha=0.1, max_iter=10000, random_state=321)",0.9898902184810182,0.9868508329522869,0.6510197672325275,0.6235580877965796,0.6957667965378201,0.6601145420438349,0.1,Ridge,submission_ridge_alpha_0.1.csv
"Ridge(max_iter=10000, random_state=321)",0.989890396961758,0.9867085855153882,0.6510196413877529,0.6236666027536379,0.6957785803676924,0.6601046962558882,1.0,Ridge,submission_ridge_alpha_1.0.csv
"Ridge(alpha=10.0, max_iter=10000, random_state=321)",0.9899074141922787,0.9853594133120565,0.6510076426245082,0.6246950552045687,0.6958995828617753,0.6600095000908169,10.0,Ridge,submission_ridge_alpha_10.0.csv
"Ridge(alpha=100.0, max_iter=10000, random_state=321)",0.9910551574236802,0.9768176013388097,0.6501978985611905,0.6311736846127933,0.6971121248910883,0.659631273375266,100.0,Ridge,submission_ridge_alpha_100.0.csv
"Ridge(alpha=1000.0, max_iter=10000, random_state=321)",1.0178479018119473,0.9773823239621079,0.6310287447009069,0.6307471059530054,0.7178909263179866,0.6769164837917504,1000.0,Ridge,submission_ridge_alpha_1000.0.csv
"Ridge(alpha=10000.0, max_iter=10000, random_state=321)",1.2811882944984994,1.2182114465838834,0.415408244062088,0.426358848902998,0.9354942708775298,0.89140040880202,10000.0,Ridge,submission_ridge_alpha_10000.0.csv
"Ridge(alpha=100000.0, max_iter=10000, random_state=321)",1.6041841670987824,1.540556714745657,0.08349420859254775,0.08261775762749324,1.1895360061717992,1.1555171715571935,100000.0,Ridge,submission_ridge_alpha_100000.0.csv
"Lasso(alpha=0.01, max_iter=10000, random_state=654)",0.9928370898639717,0.9737219087031972,0.6489388685659756,0.6335077205177326,0.6969694463918565,0.6581936087046363,0.01,Lasso,submission_lasso_alpha_0.01.csv
"Lasso(alpha=0.1, max_iter=10000, random_state=654)",1.0328042056576858,0.9914829276276059,0.6201057171134459,0.620015897112759,0.7281331020378644,0.684932239215758,0.1,Lasso,submission_lasso_alpha_0.1.csv
"Lasso(max_iter=10000, random_state=654)",1.6642084299171835,1.6003435495268854,0.013624679615001023,0.010031458416942862,1.232758132847121,1.2002121068661822,1.0,Lasso,submission_lasso_alpha_1.0.csv
"Lasso(alpha=10.0, max_iter=10000, random_state=654)",1.6756627632751369,1.6118389958271364,0.0,-0.004241730092720664,1.2449923953416009,1.2126991887914613,10.0,Lasso,submission_lasso_alpha_10.0.csv
"Lasso(alpha=100.0, max_iter=10000, random_state=654)",1.6756627632751369,1.6118389958271364,0.0,-0.004241730092720664,1.2449923953416009,1.2126991887914613,100.0,Lasso,submission_lasso_alpha_100.0.csv
"Lasso(alpha=1000.0, max_iter=10000, random_state=654)",1.6756627632751369,1.6118389958271364,0.0,-0.004241730092720664,1.2449923953416009,1.2126991887914613,1000.0,Lasso,submission_lasso_alpha_1000.0.csv
"Lasso(alpha=10000.0, max_iter=10000, random_state=654)",1.6756627632751369,1.6118389958271364,0.0,-0.004241730092720664,1.2449923953416009,1.2126991887914613,10000.0,Lasso,submission_lasso_alpha_10000.0.csv
"Lasso(alpha=100000.0, max_iter=10000, random_state=654)",1.6756627632751369,1.6118389958271364,0.0,-0.004241730092720664,1.2449923953416009,1.2126991887914613,100000.0,Lasso,submission_lasso_alpha_100000.0.csv
